City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2021-04-08 00:48:15,-21.2078,-159.775,82.4,65,75,8.05
1,Dingle,PH,2021-04-08 00:52:17,10.9995,122.6711,83.17,66,100,8.43
2,Kisangani,CD,2021-04-08 00:52:18,0.5167,25.2,69.03,99,100,1.03
3,Albany,US,2021-04-08 00:52:18,42.6001,-73.9662,59.0,55,20,6.91
4,Bonthe,SL,2021-04-08 00:52:19,7.5264,-12.505,79.18,87,100,5.3
5,Wexford,IE,2021-04-08 00:52:19,52.3342,-6.4575,42.01,87,41,8.88
6,Constitucion,CL,2021-04-08 00:48:08,-35.3333,-72.4167,55.58,83,63,8.03
7,Arraial Do Cabo,BR,2021-04-08 00:52:20,-22.9661,-42.0278,76.01,64,27,14.36
8,Kingaroy,AU,2021-04-08 00:52:20,-26.5333,151.8333,73.4,64,0,5.75
9,Tuktoyaktuk,CA,2021-04-08 00:52:20,69.4541,-133.0374,-4.0,71,20,6.91
10,Sayyan,YE,2021-04-08 00:52:21,15.1718,44.3244,53.42,15,6,4.94
11,Nikolskoye,RU,2021-04-08 00:52:21,59.7035,30.7861,30.0,93,95,4.47
12,Coquimbo,CL,2021-04-08 00:52:21,-29.9533,-71.3436,60.8,88,90,5.75
13,Westport,US,2021-04-08 00:52:22,41.1415,-73.3579,55.0,62,1,11.5
14,Khatanga,RU,2021-04-08 00:52:22,71.9667,102.5,-8.52,97,100,2.98
15,Mar Del Plata,AR,2021-04-08 00:52:23,-38.0023,-57.5575,71.6,83,1,9.22
16,Carnarvon,AU,2021-04-08 00:52:23,-24.8667,113.6333,77.0,69,5,21.85
17,Tiksi,RU,2021-04-08 00:52:23,71.6872,128.8694,-2.54,90,100,3.6
18,Atuona,PF,2021-04-08 00:52:24,-9.8,-139.0333,80.73,73,5,15.26
19,New Norfolk,AU,2021-04-08 00:52:24,-42.7826,147.0587,71.01,37,100,3.0
20,Busselton,AU,2021-04-08 00:52:25,-33.65,115.3333,62.01,81,33,3.0
21,Kodiak,US,2021-04-08 00:52:25,57.79,-152.4072,35.6,75,90,6.91
22,Puerto El Triunfo,SV,2021-04-08 00:52:25,13.2833,-88.55,86.0,79,75,4.61
23,Saldanha,ZA,2021-04-08 00:52:26,-33.0117,17.9442,59.0,88,4,4.61
24,Hilo,US,2021-04-08 00:52:26,19.7297,-155.09,78.8,47,40,12.66
25,Hasaki,JP,2021-04-08 00:52:26,35.7333,140.8333,55.4,82,75,4.61
26,Gazojak,TM,2021-04-08 00:48:23,41.1875,61.4036,60.87,34,11,7.52
27,Grindavik,IS,2021-04-08 00:52:27,63.8424,-22.4338,30.2,100,90,18.41
28,Aklavik,CA,2021-04-08 00:52:27,68.2191,-135.0107,8.6,47,40,3.44
29,Auki,SB,2021-04-08 00:52:28,-8.7676,160.7034,85.77,63,100,4.85
30,Ilulissat,GL,2021-04-08 00:52:28,69.2167,-51.1,12.2,67,75,4.61
31,Hobart,AU,2021-04-08 00:48:50,-42.8794,147.3294,70.0,49,0,8.05
32,Rikitea,PF,2021-04-08 00:52:28,-23.1203,-134.9692,77.25,60,0,7.65
33,Lahat,ID,2021-04-08 00:52:29,-3.8,103.5333,78.28,66,55,1.25
34,Denpasar,ID,2021-04-08 00:48:52,-8.65,115.2167,82.4,83,20,4.61
35,Bluff,NZ,2021-04-08 00:52:29,-46.6,168.3333,64.0,62,17,5.01
36,Pacific Grove,US,2021-04-08 00:52:29,36.6177,-121.9166,59.0,58,1,10.36
37,Hervey Bay,AU,2021-04-08 00:52:30,-25.2986,152.8535,80.01,67,0,5.01
38,Qaanaaq,GL,2021-04-08 00:52:30,77.484,-69.3632,2.23,68,100,7.58
39,Barrow,US,2021-04-08 00:52:30,71.2906,-156.7887,-18.4,63,90,11.5
40,Neuquen,AR,2021-04-08 00:52:31,-38.9516,-68.0591,60.8,72,0,11.59
41,Ust-Kuyga,RU,2021-04-08 00:52:31,70.0167,135.6,1.87,85,11,4.76
42,Boguchany,RU,2021-04-08 00:52:32,58.3814,97.4531,34.27,86,27,4.97
43,Srednekolymsk,RU,2021-04-08 00:52:32,67.45,153.6833,9.37,79,85,3.74
44,Magadan,RU,2021-04-08 00:52:33,59.5667,150.8,20.01,63,11,4.45
45,Cape Town,ZA,2021-04-08 00:48:02,-33.9258,18.4232,63.0,94,0,11.5
46,Atherton,GB,2021-04-08 00:52:33,53.5237,-2.4935,42.01,69,88,1.99
47,Magdagachi,RU,2021-04-08 00:52:34,53.45,125.8,23.25,69,99,2.59
48,Zhezkazgan,KZ,2021-04-08 00:52:34,47.8043,67.7144,44.38,72,14,7.81
49,Salinopolis,BR,2021-04-08 00:52:34,-0.6136,-47.3561,79.59,86,88,9.42
50,Pevek,RU,2021-04-08 00:52:35,69.7008,170.3133,-13.38,93,79,4.47
51,Nanortalik,GL,2021-04-08 00:52:35,60.1432,-45.2371,35.64,86,100,5.06
52,Lar,IN,2021-04-08 00:52:35,26.2039,83.9717,80.13,24,1,4.09
53,Port Elizabeth,ZA,2021-04-08 00:52:36,-33.918,25.5701,64.4,94,90,6.91
54,Castro,BR,2021-04-08 00:52:36,-24.7911,-50.0119,57.67,95,6,9.13
55,Tautira,PF,2021-04-08 00:52:37,-17.7333,-149.15,86.0,58,20,10.36
56,Grand Gaube,MU,2021-04-08 00:52:37,-20.0064,57.6608,80.01,76,94,5.99
57,Turukhansk,RU,2021-04-08 00:52:37,65.8167,87.9833,29.95,98,100,3.8
58,Luanda,AO,2021-04-08 00:49:57,-8.8368,13.2343,73.4,94,75,3.44
59,Port Alfred,ZA,2021-04-08 00:52:38,-33.5906,26.891,68.2,83,100,11.25
60,Georgetown,MY,2021-04-08 00:52:38,5.4112,100.3354,80.6,94,20,2.3
61,Butaritari,KI,2021-04-08 00:52:39,3.0707,172.7902,81.46,78,100,13.06
62,Chongwe,ZM,2021-04-08 00:52:39,-15.3292,28.682,55.62,75,70,2.77
63,Chok Chai,TH,2021-04-08 00:52:40,14.7284,102.1652,84.0,88,78,3.44
64,Caernarfon,GB,2021-04-08 00:52:40,53.1413,-4.2702,46.4,93,90,10.36
65,Talnakh,RU,2021-04-08 00:52:40,69.4865,88.3972,1.56,95,69,0.4
66,Greensburg,US,2021-04-08 00:52:41,40.3015,-79.5389,75.2,55,1,2.17
67,Grants Pass,US,2021-04-08 00:52:41,42.439,-123.3284,66.0,22,1,12.66
68,Samarkand,UZ,2021-04-08 00:52:41,39.6542,66.9597,51.8,62,0,6.91
69,Kendari,ID,2021-04-08 00:52:42,-3.945,122.4989,79.36,86,100,2.42
70,Cidreira,BR,2021-04-08 00:52:42,-30.1811,-50.2056,74.03,74,2,21.59
71,Dikson,RU,2021-04-08 00:52:43,73.5069,80.5464,8.82,80,100,5.08
72,Humberto De Campos,BR,2021-04-08 00:52:43,-2.5983,-43.4611,76.69,91,100,2.66
73,Dinhata,IN,2021-04-08 00:52:43,26.1333,89.4667,74.88,63,0,7.4
74,Hithadhoo,MV,2021-04-08 00:52:44,-0.6,73.0833,82.89,66,57,10.87
75,Udachnyy,RU,2021-04-08 00:52:44,66.4167,112.4,16.12,91,100,10.63
76,Punta Arenas,CL,2021-04-08 00:52:45,-53.15,-70.9167,50.0,71,0,13.8
77,Souillac,MU,2021-04-08 00:52:45,-20.5167,57.5167,77.0,88,75,12.66
78,Uaua,BR,2021-04-08 00:52:46,-9.8414,-39.4817,75.99,68,73,14.67
79,Cap Malheureux,MU,2021-04-08 00:52:46,-19.9842,57.6142,80.01,76,96,5.99
80,Asfi,MA,2021-04-08 00:52:46,32.2994,-9.2372,58.89,89,73,7.05
81,Boddam,GB,2021-04-08 00:52:47,57.4667,-1.7833,33.01,74,34,6.91
82,Hobyo,SO,2021-04-08 00:52:47,5.3505,48.5268,78.94,63,5,8.97
83,Carutapera,BR,2021-04-08 00:52:47,-1.195,-46.02,77.61,88,93,5.32
84,Mawlaik,MM,2021-04-08 00:52:48,23.6333,94.4167,78.21,43,0,1.88
85,La Ronge,CA,2021-04-08 00:52:48,55.1001,-105.2842,51.8,37,99,14.97
86,Tual,ID,2021-04-08 00:52:49,-5.6667,132.75,83.32,70,85,6.64
87,Shenjiamen,CN,2021-04-08 00:52:49,29.9576,122.298,53.29,80,100,15.26
88,Simbahan,PH,2021-04-08 00:52:50,6.3032,120.5836,81.73,75,99,6.2
89,Ileza,RU,2021-04-08 00:52:50,61.0533,43.9002,32.41,92,100,9.55
90,Achalpur,IN,2021-04-08 00:52:50,21.2572,77.5086,86.23,15,3,7.63
91,Torbay,CA,2021-04-08 00:52:51,47.6666,-52.7314,37.0,100,90,13.8
92,Celestun,MX,2021-04-08 00:52:51,20.8667,-90.4,79.29,73,84,10.65
93,Yellowknife,CA,2021-04-08 00:52:51,62.456,-114.3525,19.4,79,90,10.36
94,Saint-Philippe,RE,2021-04-08 00:52:52,-21.3585,55.7679,77.0,78,90,5.75
95,Necochea,AR,2021-04-08 00:52:52,-38.5473,-58.7368,73.99,76,73,8.01
96,College,US,2021-04-08 00:49:14,64.8569,-147.8028,18.0,41,40,3.44
97,Gat,IL,2021-04-08 00:49:07,31.61,34.7642,62.01,55,0,3.44
98,Alyangula,AU,2021-04-08 00:52:53,-13.8483,136.4192,86.0,66,81,9.22
99,Shubarkuduk,KZ,2021-04-08 00:52:53,49.1447,56.4872,37.04,87,100,4.23
100,Norman Wells,CA,2021-04-08 00:52:54,65.282,-126.8329,10.4,56,20,10.36
101,Mount Forest,CA,2021-04-08 00:52:54,43.9795,-80.7221,59.0,31,88,5.75
102,Ushuaia,AR,2021-04-08 00:49:50,-54.8,-68.3,46.4,87,40,3.71
103,Vaini,TO,2021-04-08 00:52:55,-21.2,-175.2,80.6,74,20,9.22
104,Katobu,ID,2021-04-08 00:52:55,-4.9408,122.5276,82.2,78,100,2.77
105,Ponta Do Sol,PT,2021-04-08 00:52:55,32.6667,-17.1,62.01,77,100,3.0
106,Kavieng,PG,2021-04-08 00:52:56,-2.5744,150.7967,79.99,77,100,21.59
107,Yeniseysk,RU,2021-04-08 00:52:56,58.4497,92.1703,31.93,94,99,3.62
108,Lashio,MM,2021-04-08 00:52:56,22.9333,97.75,71.02,48,2,0.87
109,Margate,GB,2021-04-08 00:52:57,51.3813,1.3862,39.0,53,6,1.01
110,Leh,IN,2021-04-08 00:52:57,34.1667,77.5833,24.69,68,100,0.47
111,Cherskiy,RU,2021-04-08 00:52:57,68.75,161.3,-0.49,87,100,4.18
112,Mataura,NZ,2021-04-08 00:52:58,-46.1927,168.8643,64.0,62,11,5.01
113,Kontagora,NG,2021-04-08 00:52:58,10.3999,5.4695,85.17,32,63,1.21
114,Nishihara,JP,2021-04-08 00:52:59,26.1842,127.7558,73.4,60,20,11.5
115,Saint George,US,2021-04-08 00:52:59,37.1041,-113.5841,80.01,7,1,9.22
116,Sorland,NO,2021-04-08 00:52:59,67.667,12.6934,32.83,52,100,16.62
117,Dzerzhinsk,RU,2021-04-08 00:53:00,56.2389,43.4631,41.0,87,90,13.42
118,Hofn,IS,2021-04-08 00:53:00,64.2539,-15.2082,27.1,73,100,20.11
119,Prince Rupert,CA,2021-04-08 00:53:00,54.3161,-130.3201,42.8,70,75,9.22
120,Plouzane,FR,2021-04-08 00:53:01,48.3833,-4.6167,41.0,87,75,2.3
121,Camana,PE,2021-04-08 00:53:01,-16.6228,-72.7111,70.41,85,93,7.85
122,Kruisfontein,ZA,2021-04-08 00:53:02,-34.0033,24.7314,59.0,91,18,1.01
123,Jamestown,US,2021-04-08 00:50:16,42.097,-79.2353,64.4,55,1,5.75
124,Vilhena,BR,2021-04-08 00:50:15,-12.7406,-60.1458,68.94,97,90,2.53
125,Saravan,AM,2021-04-08 00:53:02,39.7196,45.6483,43.56,57,0,6.31
126,Vestmannaeyjar,IS,2021-04-08 00:53:03,63.4427,-20.2734,33.1,89,100,25.43
127,Batagay-Alyta,RU,2021-04-08 00:53:03,67.8006,130.4114,-6.27,88,34,2.15
128,Sitka,US,2021-04-08 00:53:04,57.0531,-135.33,39.2,60,40,13.8
129,Shirokiy,RU,2021-04-08 00:53:04,49.758,129.523,31.53,42,18,16.75
130,Bredasdorp,ZA,2021-04-08 00:53:04,-34.5322,20.0403,55.4,94,78,1.14
131,Chuy,UY,2021-04-08 00:51:10,-33.6971,-53.4616,69.89,82,0,13.6
132,Hamilton,US,2021-04-08 00:48:43,39.1834,-84.5333,75.2,46,40,4.61
133,Matam,SN,2021-04-08 00:53:05,15.6175,-13.3303,86.0,26,0,2.3
134,Waipawa,NZ,2021-04-08 00:53:05,-41.4122,175.5153,69.8,64,0,17.27
135,Petropavlovsk-Kamchatskiy,RU,2021-04-08 00:53:06,53.0452,158.6483,35.6,55,40,2.24
136,Klaksvik,FO,2021-04-08 00:53:06,62.2266,-6.589,35.6,100,90,19.57
137,East London,ZA,2021-04-08 00:53:07,-33.0153,27.9116,65.59,78,9,9.93
138,Kaeo,NZ,2021-04-08 00:53:07,-35.1,173.7833,72.0,76,67,8.01
139,Kapaa,US,2021-04-08 00:53:08,22.0752,-159.319,73.4,73,90,21.85
140,Ugoofaaru,MV,2021-04-08 00:53:08,5.6667,73.0,82.38,72,27,8.37
141,Chimoio,MZ,2021-04-08 00:53:08,-19.1164,33.4833,62.6,100,20,2.3
142,Staryy Saltiv,UA,2021-04-08 00:53:09,50.0827,36.7939,37.4,81,90,13.42
143,Lorengau,PG,2021-04-08 00:53:09,-2.0226,147.2712,81.59,81,100,14.25
144,Frunze,UA,2021-04-08 00:53:09,48.6686,38.7544,50.25,84,100,14.5
145,Sarankhola,BD,2021-04-08 00:52:05,22.3082,89.7897,80.13,72,0,8.97
146,Hermanus,ZA,2021-04-08 00:53:10,-34.4187,19.2345,59.0,90,100,5.82
147,Cayenne,GF,2021-04-08 00:53:10,4.9333,-52.3333,75.2,100,75,2.3
148,Urucara,BR,2021-04-08 00:53:11,-2.5364,-57.76,78.01,83,98,2.71
